qid,is_impossible,question,gold,prediction,refused,em,f1
572a05eb3f37b31900478655,False,Persistent unemployment has what effect on long-term economic growth?,negative | negative effect | negative,Negative.,False,1.0,1.0
57263cfcec44d21400f3dc8d,False,What was Apple Talk ,a proprietary suite of networking protocols developed by Apple Inc. in 1985 | a proprietary suite of networking protocols developed by Apple Inc | proprietary suite of networking protocols,AppleTalk was a proprietary suite of networking protocols developed by Apple Inc. in 1985 for Apple Macintosh computers.,False,0.0,0.7857
57263eaa38643c19005ad373,False,What does ctenophora rely on for digestion and respiration?,water flow through the body cavity | κτείς kteis 'comb' and φέρω pherō 'carry' | water flow through the body cavity,Water flow through the body cavity.,False,1.0,1.0
56e1e9dfe3433e14004231fc,False,What is the problem attributed to defining if two finite graphs are isomorphic?,The graph isomorphism problem | graph isomorphism | The graph isomorphism problem,The graph isomorphism problem.,False,1.0,1.0
5ad27a80d7d075001a4295fd,True,What was identified as a universal force after the work of Galileo?,,"The provided documents do not contain this information.  (Note: The context actually mentions that gravity was identified as a universal force after the work of Isaac Newton, not Galileo.)",False,0.0,0.0
56e1c4fce3433e1400423150,False,BQP and QMA are examples of complexity classes most commonly associated with what type of Turing machine?,quantum | quantum | quantum,Quantum Turing machines.,False,0.0,0.5
5725c95f38643c19005accf5,False,What would be needed to host a larger population?,agriculture | agriculture | agriculture,The provided documents do not contain this information.,True,0.0,0.0
5ad3b826604f3c001a3fee4b,True,"During withdrawal from Fort William Henry, what did some Indian enemies of French do?",,The provided documents do not contain this information.,True,1.0,1.0
5ad158c0645df0001a2d1828,True,What has not been seen increasingly as a fundamental status of member state nationals by the Court of Justice?,,The provided documents do not contain this information.,True,1.0,1.0
5ad25f35d7d075001a428f6c,True,What is carbon monoxide poisonous to that can cause gas gangrene?,,The provided documents do not contain this information.,True,1.0,1.0
5ad4bea25b96ef001a109ef8,True,"What city, raided by clans and dukes, preceded the founding of Boleslaw?",,Jazdów,False,0.0,0.0
5729f0db6aef051400155126,False,The Amazon region is home to how many species of insect?,2.5 million | about 2.5 million | 2.5 million,The Amazon region is home to about 2.5 million insect species.,False,0.0,0.4615
571c3a685efbb31900334db3,False,Of what group in the periodic table is oxygen a member?,chalcogen | chalcogen | chalcogen | chalcogen | the chalcogen group,Oxygen is a member of the chalcogen group on the periodic table.,False,0.0,0.3636
5ad2741ed7d075001a4294d6,True,Where does Lake Constance emerge from?,,The provided documents do not contain this information.,True,1.0,1.0
