qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A02,How does the Markov assumption simplify the task of language modelling?,Sentence-aware,"The provided context states that ""the assumption that the probability of a word depends only on the previous word is called a Markov assumption."" This implies that by making this assumption, we can simplify the task of predicting the next word in a sentence to only considering the preceding word.",answered,False,,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",3.852,True,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Sentence-aware,"According to the context, the main difference between word types and word tokens in a corpus is that:  * Word types (or ""types"") refer to the number of distinct words in the vocabulary (the set of unique words). * Word tokens (or ""tokens"") refer to the total number of running words in a document or corpus.  In other words, a type represents a specific word, while a token represents an instance of that word.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf",5.755,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Sentence-aware,"The provided documents do not contain this information. However, based on the context, we can infer that the Naive Bayes model makes an independence assumption between features, which simplifies the calculation of probabilities.  In particular, the formula P(s|c) = ∏i∈positionsP(wi|c) (4.15) suggests that the probability of a sentence given a class is calculated as the product of the probabilities of each word in the sentence given the class, assuming independence between words. This assumption allows the model to assign a probability to each word and then combine these probabilities to obtain the overall probability of the sentence.  This independence assumption is likely one of the key assumptions made by the Naive Bayes model, which simplifies the calculation of probabilities but may not always hold in real-world data.",hedged,False,model_judgement,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",10.115,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",1.458,False,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Sentence-aware,"Stopwords are very common words in a language (such as ""the"", ""and"", etc.) that are typically removed during text preprocessing because using a stop word list doesn't improve performance in most text classification applications. They are considered unimportant details for text processing.",answered,False,,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf",3.772,True,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",1.33,False,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Sentence-aware,"Perplexity is a measure related to the likelihood of the test sequence according to the model, and a lower perplexity indicates that a language model is a better predictor of the words in the test set. It is also closely related to the information-theoretic notion of entropy (Section 3.8). Perplexity is smaller than the branching factor, but still related to it: when the branching factor is 10, the perplexity or weighted branching factor is smaller.  In this context, the perplexity of a language model is also inversely proportional to the likelihood of the test sequence according to the model (since as Eq. 3.15 showed, perplexity is related inversely to the likelihood of the test sequence according to the model). This means that if the probability of the test sequence is higher, the perplexity will be lower.  So in short, perplexity is a measure of how well a language model predicts words in a test set, and it's smaller than the branching factor.",answered,False,,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",12.348,True,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Sentence-aware,"The provided documents do not contain this information. However, based on the context, it can be inferred that one of the purposes of smoothing in n-gram models is to handle zero counts and create a probability distribution by discounting or interpolating lower-order n-gram counts.",hedged,False,model_judgement,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",3.96,True,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf",1.32,False,,,answerable,answer
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Sentence-aware,"John Cocke. According to Martin Kay, John Cocke implemented a dynamic programming parser containing the roots of the CKY algorithm in 1960.",answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf",2.468,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.324,False,,,answerable,answer
B01,What is the capital of Brazil?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6208,,0.029,True,,,out_of_corpus,refuse
B02,Who won the 2018 FIFA World Cup?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6328,,0.025,True,,,out_of_corpus,refuse
B03,What is the boiling point of water in Fahrenheit?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7144,,0.027,True,,,out_of_corpus,refuse
B04,How tall is Mount Kilimanjaro?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7434,,0.029,True,,,out_of_corpus,refuse
B05,What year was the Eiffel Tower completed?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6761,,0.03,True,,,out_of_corpus,refuse
B06,What is the currency of Japan?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5915,,0.028,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6593,,0.042,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7068,,0.036,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6543,,0.033,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7008,,0.033,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.76,,0.031,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7033,,0.036,True,,,out_of_corpus,refuse
A15,How is TF-IDF weighting calculated?,Sentence-aware,"The tf-idf weighted value wt,d for word t in document d combines termtf-idf frequency tft,d with idf from Eq. 6.13, as shown in the equation:  wt,d = tft,d× idft (6.14)",answered,False,,0.301,"course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",3.876,True,,,answerable,answer
A16,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.2821,"course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",1.318,False,,,answerable,answer
C03,How many parameters does GPT-4 have?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6964,,0.031,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.4668,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",1.333,True,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.4919,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.388,True,,,related_unanswerable,refuse
A17,What is positive pointwise mutual information and how is it computed?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.2601,"course-reading-wk6.2.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",1.295,False,,,answerable,answer
