qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Fixed-size,"John Cocke, according to the late Martin Kay (personal communication). He did this in 1960.",answered,False,,0.2409,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf",40.648,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Fixed-size,109,answered,False,,0.4659,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",41.76,True,,,answerable,answer
A15,How is TF-IDF weighting calculated?,Fixed-size,"The tf-idf weighted value wt,d for word t in document d thus combines termtf-idf frequency tft,d (deﬁned either by Eq. 6.11 or by Eq. 6.12) with idf from Eq. 6.13:  wt,d = tft,d× idft (6.14)  So, the TF-IDF weighting is calculated by multiplying the term-frequency (tf-idf frequency) of a word in a document and the inverse document frequency (idf) of that word.",answered,False,,0.2785,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",59.186,True,,,answerable,answer
A16,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2892,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf",40.084,False,,,answerable,answer
A17,What is positive pointwise mutual information and how is it computed?,Fixed-size,"Positive Pointwise Mutual Information (PPMI) is a measure used in Natural Language Processing. It is defined as PPMI(w,c) = max(log2 P(w,c) / P(w)P(c), 0). This means that PPMI is the maximum value of the log-likelihood ratio of observing words w and c together, compared to if they were independent, rounded down to zero for negative values.",answered,False,,0.3181,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",54.468,True,,,answerable,answer
B01,What is the capital of Brazil?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7878,,0.345,True,,,out_of_corpus,refuse
B02,Who won the 2018 FIFA World Cup?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.768,,0.022,True,,,out_of_corpus,refuse
B03,What is the boiling point of water in Fahrenheit?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7182,,0.021,True,,,out_of_corpus,refuse
B04,How tall is Mount Kilimanjaro?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7601,,0.022,True,,,out_of_corpus,refuse
B05,What year was the Eiffel Tower completed?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7607,,0.022,True,,,out_of_corpus,refuse
B06,What is the currency of Japan?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.634,,0.021,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7439,,0.031,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.677,,0.018,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6984,,0.02,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7222,,0.018,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.774,,0.019,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.698,,0.018,True,,,out_of_corpus,refuse
C03,How many parameters does GPT-4 have?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6779,,0.02,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Fixed-size,"The provided documents do not contain this information. However, based on the context, it seems like you may want to look into NLTK (Natural Language Toolkit), which is mentioned in one of the references at the end of the document. It might have tools or libraries that can help with implementing a CKY parser.",hedged,False,model_judgement,0.5021,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",49.272,False,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5556,,0.03,True,,,related_unanswerable,refuse
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Sentence-aware,"An intrinsic evaluation measures the quality of a language model independent of any application. On the other hand, an extrinsic evaluation embeds the language model in an application and measures how much it improves performance, which is considered to be the only way to know if a particular improvement in a component will really help with a task at hand.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",13.265,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Sentence-aware,"According to the context, the Markov assumption simplifies the task of language modeling by assuming that ""the probability of a word depends only on the previous word"". This allows for the approximation:  P(wn|w1:n−1)≈ P(wn|wn−1)  This means that instead of considering all preceding words to predict the next word, we only need to consider the immediately previous word.",answered,False,,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",13.371,True,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Sentence-aware,"According to the context, the difference between word types and word tokens in a corpus is:  Word types (or ""types"") refer to the number of distinct words or forms/spellings of words in a corpus, regardless of their specific occurrences. It's the vocabulary size, which includes all unique words.  Word tokens (or ""tokens""), on the other hand, are the total number of individual running words in a corpus, including repetitions. It's the total count of words.  In the given example from the Brown sentence, there are 14 types and 16 tokens.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",15.781,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Sentence-aware,"The Naive Bayes assumption is the conditional independence assumption that the probabilities P(fi|c) are independent given the class c. This means that the model assumes that each feature (word) can be predicted independently of every other feature, given the class label.  According to this assumption, the probability of a set of features (P(fi, f2, ..., fn|c)) can be calculated by simply multiplying the individual probabilities of each feature:  P(f1, f2, ...., fn|c) = P(f1|c) · P(f2|c) · ... · P(fn|c)  This assumption allows for a simplified calculation of the class probabilities and affects the probability calculations in the Naive Bayes model.",answered,False,,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",22.396,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Sentence-aware,"According to the context:  Precision is defined as: Precision = true positives / (true positives + false positives)  Recall measures the percentage of items actually present in the input that were correctly identified by the system, and is defined as: Recall = true positives / (true positives + false negatives)",answered,False,,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",10.781,True,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Sentence-aware,"Stop words are extremely common words in a language that would appear to be of little value in helping select documents matching a user need. They are typically removed from the vocabulary because they don't provide much useful information for text classification or other applications.  According to the context, stopwords include very common English words such as ""the"", ""and"", ""of"", and ""on"". Removing these words during text preprocessing can help improve performance in some cases, although it's not always necessary.",answered,False,,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk6.2.pdf; course-reading-wk6.2.pdf",18.923,True,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Sentence-aware,"The provided documents do not contain this information. The text mentions that the parallelogram method was proposed by Rumelhart and Abrahamson (1973) for solving simple analogy problems, but it does not describe how the model works or its specific implementation in word embeddings.",hedged,False,model_judgement,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",11.333,True,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Sentence-aware,"Perplexity is a measure of how well a language model predicts the words in a test set. A lower perplexity indicates that the model is a better predictor of the words in the test set.  The branching factor of a language, on the other hand, refers to the number of possible next words that can follow any word. Perplexity and branching factor are related in that a model with a smaller weighted branching factor (i.e., perplexity) will have lower probability for each word in the test set, as indicated by equation 3.15: P(W) = (1/P(w1w2... wN))^(-1/N), where P is the probability of the test sequence according to the model.  The provided documents do not contain this information explicitly stated as how perplexity relates directly to a language's branching factor, but it does mention that perplexity is related to the weighted branching factor being smaller.",refused,True,model_judgement,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.2.pdf",33.429,False,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Sentence-aware,"To save some probability mass for the unseen events, which would otherwise be zero. This allows us to shave off a bit of probability mass from more frequent events and give it to the unseen events.",answered,False,,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",8.854,True,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Sentence-aware,"According to the context, the two methods differ in their approach and what they aim to achieve:  * Stemming usually refers to a simpler version of lemmatization that mainly consists of chopping off word-final affixes. It often collapses derivationally related words. * Lemmatization is a more sophisticated method that involves complete morphological parsing of the word, aiming to remove only inflectional endings and return the base or dictionary form of a word (the lemma).  Additionally, lemmatization tends to preserve the nuances of the word's meaning, whereas stemming may strip off too much information. The context also mentions that lemmatization is more accurate but cruder methods like stemming are used when necessary due to its complexity.",answered,False,,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf",27.729,True,,,answerable,answer
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Sentence-aware,"John Cocke, according to Martin Kay's personal communication.",answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",3.503,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Sentence-aware,"The perplexity of the trigram model is not mentioned in the context provided. However, it is stated that ""A trigram model is less surprised than a unigram model because it has a better idea of what words might come next, and so it assigns them a higher probability."" But we can see from Table 3.1:",answered,False,,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",11.15,True,,,answerable,answer
A15,How is TF-IDF weighting calculated?,Sentence-aware,"The tf-idf weighted value wt,d for word t in document d thus combines termtf-idf frequency tft,d (deﬁned either by Eq. 6.11 or by Eq. 6.12) with idf from Eq. 6.13: wt,d = tft,d× idft (6.14)",answered,False,,0.301,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",11.326,True,,,answerable,answer
A16,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,Sentence-aware,"The provided context does not explicitly state why cosine similarity is preferred over the raw dot product. However, it mentions that ""the cosine—like most measures for vector similarity used in NLP—is based on ratios of word co-occurrence probabilities"" and also states that ""The cosine of two vectors—a normalized dot product—is the most popular metric."" This suggests that normalizing the dot product (which is what the cosine does) may be beneficial, but it doesn't provide a clear explanation as to why the raw dot product is less preferred.",answered,False,,0.2821,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.3.pdf",16.652,True,,,answerable,answer
A17,What is positive pointwise mutual information and how is it computed?,Sentence-aware,"Positive Pointwise Mutual Information (PPMI) is defined as: PPMI(w,c) = max(log2 P(w,c) P(w)P(c) ,0) (6.18)  It is computed by taking the maximum of log2(P(w,c)/P(w)P(c)) and 0, effectively replacing all negative PMI values with zero.",answered,False,,0.2601,"course-reading-wk6.2.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.3.pdf",11.544,True,,,answerable,answer
B01,What is the capital of Brazil?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6208,,0.029,True,,,out_of_corpus,refuse
B02,Who won the 2018 FIFA World Cup?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6328,,0.022,True,,,out_of_corpus,refuse
B03,What is the boiling point of water in Fahrenheit?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7144,,0.025,True,,,out_of_corpus,refuse
B04,How tall is Mount Kilimanjaro?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7434,,0.022,True,,,out_of_corpus,refuse
B05,What year was the Eiffel Tower completed?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6761,,0.026,True,,,out_of_corpus,refuse
B06,What is the currency of Japan?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5915,,0.021,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6593,,0.024,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7068,,0.022,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6543,,0.019,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7008,,0.023,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.76,,0.02,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7033,,0.022,True,,,out_of_corpus,refuse
C03,How many parameters does GPT-4 have?,Sentence-aware,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6964,,0.02,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Sentence-aware,"The provided documents do not contain this information. However, based on the general context of natural language processing (NLP) and computational linguistics, it is likely that the Natural Language Toolkit (NLTK) or spaCy might be used for implementing the CKY algorithm, but there's no explicit mention in the given text.",hedged,False,model_judgement,0.4668,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",9.198,False,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Sentence-aware,The provided documents do not contain this information.,refused,True,model_judgement,0.4919,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",2.511,True,,,related_unanswerable,refuse
