qid,is_impossible,question,gold,prediction,outcome,refused,refusal_reason,top_distance,em,f1
5727c55bff5b5019007d94ce,False,Who lead the school back to leading research institution in 2oth century?,James Bryant Conant | James Bryant Conant | James Bryant Conant,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6023,0.0,0.0
56e1c9bfe3433e1400423194,False,"According to reduction, if X and Y can be solved by the same algorithm then X performs what function in relationship to Y?",reduces | reduces | X reduces to Y,The provided documents do not contain this information.,refused,True,model_judgement,0.4871,0.0,0.0
5ad280d4d7d075001a4297d9,True,Which law is a rule of vector addition?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5588,1.0,1.0
5ad04f7977cf76001a686fb9,True,What NAB teams are from Southern California?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3739,1.0,1.0
5a7b37ce21c2de001afe9dda,True,How many days in August are below freezing?,,The provided documents do not contain this information.,refused,True,model_judgement,0.405,1.0,1.0
5730b1022461fd1900a9cfa3,False,When was the first Sino-Japanese War?,1894 | 1894 | 1894 | 1894 | 1894,"The First Sino-Japanese War occurred in 1894, when Japan absorbed Taiwan.",answered,False,,0.3794,0.0,0.1818
5acfee4777cf76001a686560,True, Who influenced the non-Taliban ideology?,,The provided documents do not contain this information.,refused,True,model_judgement,0.265,1.0,1.0
5725fcbe271a42140099d3af,False,What is another name for the Yosemite Freeway?,State Route 41 | State Route 41,Eisenhower Freeway,answered,False,,0.413,0.0,0.0
572a07fc6aef0514001551dc,False,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors | immunoglobulins and T cell receptors | immunoglobulins,Immunoglobulins and T cell receptors.,answered,False,,0.1617,1.0,1.0
5a57cf7a770dc0001aeefda4,True,By how many kilometers are shear waves separated when measuring the crust?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4125,1.0,1.0
5acfa31377cf76001a685686,True,"Who wrote ""The closing of the Good War""?",,The provided documents do not contain this information.,refused,True,model_judgement,0.4542,1.0,1.0
5ad401f2604f3c001a3ffd41,True,Who defeated Anglo-Norman forces during the third Crusade?,,The provided documents do not contain this information.,refused,True,model_judgement,0.521,1.0,1.0
5a2c16e3bfd06b001a5ae9eb,True,What replaced the Sky+HD Box?,,The provided documents do not contain this information.,refused,True,model_judgement,0.346,1.0,1.0
5725cbb289a1e219009abed4,False,What was believed to be the cause of devastation to the civilization?,diseases from Europe | the spread of diseases from Europe | spread of diseases from Europe,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5727,0.0,0.0
570d2417fed7b91900d45c40,False,What city in Victoria is called the sporting capital of Australia?,Melbourne | Melbourne | Melbourne,Melbourne.,answered,False,,0.342,1.0,1.0
571cca4add7acb1400e4c152,False,"At first, what did oxygen and iron combine to form?",banded iron formations | banded iron formations | banded iron formations | banded iron formations | banded iron,Banded iron formations.,answered,False,,0.3711,1.0,1.0
5ad50c9f5b96ef001a10aae2,True,When did Hitler order the annihilation of the German Ghetto?,,"The provided documents do not contain this information.  (Note: The context actually mentions the ""Warsaw Ghetto"" and the ""Final Solution"", but it does not mention a ""German Ghetto"". It also specifies that the Warsaw Ghetto was home to several hundred thousand Jews, which suggests that it was a Jewi",hedged,False,,0.3188,0.0,0.0
571cda1bdd7acb1400e4c19a,False,What type of organization would need large quantities of pure oxygen?,hospitals | hospitals | hospitals | hospitals | hospitals,Hospitals and other institutions with a need for large volumes of pure oxygen gas.,answered,False,,0.4861,0.0,0.1429
573786b51c4567190057448f,False,What is gravitational acceleration proportional to?,mass | the mass of the attracting body | the mass of the attracting body | the mass of the attracting body,The acceleration due to gravity is proportional to the mass of the attracting body.,answered,False,,0.3916,0.0,0.5333
5705fc3a52bb89140068976e,False,What is the high end of the temperature range in winter?,70 | 70 | 70,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6138,0.0,0.0
5ad54c2f5b96ef001a10ac5f,True,What differing variable remains the same size when providing the four likelihoods of case complexities?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7072,1.0,1.0
572826634b864d19001645be,False,What ethnic group located in Jacksonville is ranked tenth largest?,Arab | Arab | Arab,The Arab population in Jacksonville is ranked tenth largest.,answered,False,,0.3377,0.0,0.2222
5ad3f13e604f3c001a3ff869,True,What do the simplest compression cylinders give during the engine cycle?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5819,1.0,1.0
5ad3c637604f3c001a3ff019,True,About what year was the vacuum engine developed?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3878,1.0,1.0
5a6ce6164eec6b001a80a69c,True,What are some small pharmacy management companies?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3395,1.0,1.0
5ad4d8d65b96ef001a10a362,True,When did building activity occur on Banki Palace?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5605,1.0,1.0
5ad4ea425b96ef001a10a627,True,When is antibody production higher than normal? ,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7148,1.0,1.0
5a7b33b821c2de001afe9dc0,True,When was State Route 99 Freeway built?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6509,1.0,1.0
5726a46cdd62a815002e8bd1,False,Which member state declined to sign the Social Charter?,The UK | UK | UK,The UK refused to sign the Social Charter.,answered,False,,0.3562,0.0,0.2857
5a7505e497ca42001a521de2,True,What years did the dollar price of oil rise by 2% per year? ,,"From 1947 to 1967, the dollar price of oil had risen by less than two percent per year.",answered,False,,0.3605,0.0,0.0
5725cb33271a42140099d1df,False,What does ctenophore use to capture prey?,colloblasts | colloblasts | colloblasts,"Ctenophores are distinguished from all other animals by having colloblasts, which are sticky and adhere to prey...",answered,False,,0.347,0.0,0.1111
572fe9b3947a6a140053cde2,False,The Rhine gets how much water from the Aare?,"1,000 m3/s (35,000 cu ft/s), | 1,000 m3/s",The Aare more than doubles the Rhine's water discharge.,answered,False,,0.2667,0.0,0.0
5a7b456121c2de001afe9e2a,True,What is the largest city directly linked to an interstate?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4014,1.0,1.0
5a837549e60761001a2eb739,True,What is the epidermis fringed with?,,The provided documents do not contain this information.,refused,True,model_judgement,0.5261,1.0,1.0
571154c72419e31400955587,False,What percentage of electricity was made by steam turbine in the 1990s?,90 | 90% | 90%,About 90% of the world's electric production was by use of steam turbines.,answered,False,,0.2078,0.0,0.1538
57287e512ca10214002da3fa,False,How well did the Mongol Emperors know Chinese?,"could not master written Chinese, but they could generally converse well | could not master written Chinese, but they could generally converse well | well","Most of the Emperors could not master written Chinese, but they could generally converse well in the language.",answered,False,,0.4498,0.0,0.8148
5725cbb289a1e219009abed3,False,During what time did civilization in the Amazon was flourishing when Orellana made his observations?,1540s | 1540s | 1540s,The provided context states that it is believed a complex civilization was flourishing along the Amazon in the 1540s.,answered,False,,0.3087,0.0,0.125
5a7b0fae21c2de001afe9d2b,True,When was the Fresno Normal School stated?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4011,1.0,1.0
57097b50200fba140036804d,False,How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,10 million | 10 million | 10 million,10 million homes.,answered,False,,0.1902,0.0,0.8
5728f9882ca10214002dab5a,False,What part of the innate immune system identifies microbes and triggers immune response?,pattern recognition receptors | receptors | cells,"Pattern recognition receptors identify microbes and trigger the immune response by recognizing components that are conserved among broad groups of microorganisms, or by responding to alarm signals sent out by damaged, injured or stressed cells.",answered,False,,0.2114,0.0,0.1622
5ad2b72fd7d075001a42a024,True,When was the Holland empire formed?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4747,1.0,1.0
572fc80b04bcaa1900d76d11,False,When are subject committees established?,beginning of each parliamentary session | beginning of each parliamentary session | at the beginning of each parliamentary session,Subject committees are established at the beginning of each parliamentary session.,answered,False,,0.3345,0.0,0.75
5acfe73c77cf76001a6863d5,True, When was the heyday of secular non-Arab nationalism?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4697,1.0,1.0
5a8221dc31013a001a335232,True,Who does Cambridge say the expansion will benefit?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4939,1.0,1.0
56e1f10ee3433e1400423223,False,"Though unkown, what are the most commonly ascribed attributes of L in relation to P",strictly contained in P or equal to P | contained in P or equal to P. | strictly contained in P or equal to P,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5443,0.0,0.0
5ad3ade2604f3c001a3fec16,True,Where did Marin build last fort?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3698,1.0,1.0
5725fabc89a1e219009ac12c,False,What was the population density in 2000?,"4,097.9 people per square mile | 4,097.9 people per square mile | 4,097.9","The population density was 4,097.9 people per square mile (1,582.2/km²).",answered,False,,0.3455,0.0,0.7143
57115ff82419e314009555c6,False,What are stators attached to?,turbine casing | turbine casing | the turbine casing,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5959,0.0,0.0
5ad2472bd7d075001a428b23,True,Survivial isn't at the heart of what concept for workers?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7074,1.0,1.0
5a58db973e1742001a15ce50,True,Where in the ocean are volcano arcs located?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5348,1.0,1.0
5729f2646aef051400155132,False,How many tons of live plants were found to live in one square kilometer of the Amazon rainforest in 1999?,"90,790 tonnes | about 90,790 | about 90,790 | 90,790 tonnes","90,790 tonnes",answered,False,,0.2879,1.0,1.0
5ad03e5077cf76001a686ed4,True,Presidents in the governing party introduce what laws?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6244,1.0,1.0
57332f81d058e614000b5778,False,What were the structures built by the Soviets typical of?,an Eastern Bloc city | an Eastern Bloc city,The provided documents do not contain this information.,refused,True,model_judgement,0.4826,0.0,0.0
5ad3ffb3604f3c001a3ffc95,True, Who ended the Yuan dynasty?,,The Genghisid rulers returned to their Mongolian homeland and continued to rule the Northern Yuan dynasty after the Yuan dynasty ended in 1368.,answered,False,,0.281,0.0,0.0
5ad02e3377cf76001a686d34,True,What grew on a global scale as a result of non-imperialism?,,The provided documents do not contain this information.,refused,True,model_judgement,0.421,1.0,1.0
5ad55ee35b96ef001a10ace8,True,What thesis specifies that a trinomial relationship exists within time complexities in a computational model?,,The provided documents do not contain this information.,refused,True,model_judgement,0.5106,1.0,1.0
5725c95f38643c19005accf5,False,What would be needed to host a larger population?,agriculture | agriculture | agriculture,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5565,0.0,0.0
5ad0225377cf76001a686b40,True,A decline in Scottish nationalism during the 1960s fueled what?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4417,1.0,1.0
57111ab8a58dae1900cd6c3c,False,What protestant religions made Northern European counties safe for Huguenot immigration?,Lutheran and Reformed | Lutheran and Reformed | Lutheran and Reformed,Lutheran and Reformed states in Germany and Scandinavia made Northern European counties safe for Huguenot immigration.,answered,False,,0.4389,0.0,0.3158
571cb010dd7acb1400e4c12b,False,By what process is singlet oxygen made in the tropophere?,photolysis of ozone | photolysis of ozone | photolysis of ozone by light of short wavelength | photolysis of ozone by light of short wavelength | photolysis,The photolysis of ozone by light of short wavelength.,answered,False,,0.3023,1.0,1.0
572a20816aef0514001552e7,False,How were some modern economic inequalities created?,forceful taking of property | forceful taking of property | forceful taking of property,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5367,0.0,0.0
56de52614396321400ee27fd,False,Who patronized the monks in Italy? ,Robert Guiscard | Robert Guiscard | Robert Guiscard,Robert Guiscard.,answered,False,,0.46,1.0,1.0
5a894b333b2508001a72a5b7,True,What is one work by Neumes?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6235,1.0,1.0
5a892b473b2508001a72a4e8,True,How many divisions are required to verify the division of the number 37?,,"According to the context, only three divisions are necessary (m = 2, 3, and 5) to check the primality of 37.",answered,False,,0.3323,0.0,0.0
572648e8dd62a815002e8078,False,Comb like bands of cilia are called what?,ctenes | ctenes | ctenes,Ctenes.,answered,False,,0.2998,1.0,1.0
5a3e3aa9378766001a002509,True,Who runs the UNEP Council?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6306,1.0,1.0
5728284e3acd2414000df5ce,False,What did Joseph Haas say in his email?,"""Wise up or die."" | Wise up or die | ""Wise up or die."" | Wise up or die | Wise up or die","""Wise up or die.""",answered,False,,0.4062,1.0,1.0
571cd3b55efbb31900334e05,False,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria | anaerobic bacteria | anaerobic bacteria | anaerobic bacteria | anaerobic bacteria,Anaerobic bacteria,answered,False,,0.4004,1.0,1.0
572759665951b619008f8887,False,Who was the opposing party in the Runyon case?,McCrary | McCrary | McCrary,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6942,0.0,0.0
5727478cf1498d1400e8f59c,False,What is another term for university-preparatory schools?,prep schools | prep schools | prep schools,"""prep schools""",answered,False,,0.4999,1.0,1.0
5a6683d5f038b7001ab0bf1f,True,Why do some people find it hard to not talk to a tax agent?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7413,1.0,1.0
5705fec152bb89140068977e,False,How much was the 1994 earthquake estimated to have cost?,$20 billion | over $20 billion | over $20 billion,"The magnitude 6.7 1994 Northridge earthquake was estimated to have caused the most property damage of any earthquake in U.S. history, which is estimated at over $20 billion.",answered,False,,0.4207,0.0,0.2069
56ddde6b9a695914005b962c,False,What century did the Normans first gain their separate identity?,10th century | the first half of the 10th century | 10th | 10th,The first half of the 10th century.,answered,False,,0.3467,1.0,1.0
572a064a3f37b31900478660,False,"The Peruvian Amazon indigienous people are one group struggling in the Amazon, what is another group?",Urarina | Urarina | Urarina,The Urarina.,answered,False,,0.3457,1.0,1.0
5727490bdd62a815002e9a84,False,What is the comparison in price between Australian private schools versus public?,more expensive | more expensive | more expensive,Private schools in Australia are always more expensive than their public counterparts.,answered,False,,0.2772,0.0,0.2857
5a2c3d73bfd06b001a5aea8b,True,When was NTL Telewest rebranded from Virgin Media?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3427,1.0,1.0
5ad13dbb645df0001a2d136a,True,When was the European Communities Act denied acceptance?,,The provided documents do not contain this information.,refused,True,model_judgement,0.5028,1.0,1.0
5ad02e3377cf76001a686d35,True, Who was made rich and prosperous prior to World War 2?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5687,1.0,1.0
572a0f073f37b31900478683,False,What are the skin cells that can be transformed into tumors known as?,melanocytes | melanocytes | melanocytes,Melanocytes.,answered,False,,0.3753,1.0,1.0
572ffa79a23a5019007fcbec,False,Microplates squeezing and rotating created the features of what?,Mediterranean geography | Mediterranean geography | Mediterranean geography,Mediterranean geography.,answered,False,,0.5143,1.0,1.0
5728202c4b864d19001644ed,False,What group of people performed revolutionary civil disobedience toward the Austrian government?,Hungarians | Hungarians | the Hungarians under Ferenc Deák | Hungarians | Hungarians,The Hungarians under Ferenc Deák directed revolutionary civil disobedience against the Austrian government.,answered,False,,0.3742,0.0,0.5333
5733140a4776f419006606e1,False,What city served as Poland's capital in 1313?,Kraków | Kraków | Kraków,"The provided documents do not contain this information.  However, according to the context, Kraków served as the Polish capital city at that time.",hedged,False,,0.311,0.0,0.0952
570d2417fed7b91900d45c3d,False,What kind of economy does Victoria have?,diversified | highly diversified | highly diversified,"Victoria's economy is highly diversified. Service sectors including financial and property services, health, education, wholesale, retail, hospitality and manufacturing constitute the majority of employment.",answered,False,,0.3886,0.0,0.16
57108c95b654c5140001f97c,False,What is located within this district?,the oldest street in the United States of America | the oldest street in the United States of America | the oldest street in the United States of America,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7655,0.0,0.0
5a2c116ebfd06b001a5ae9c4,True,What free TV platform was most popular in Europe at this time?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5689,1.0,1.0
5ad3bd30604f3c001a3fef12,True,What lands weren't reserved for natives?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4366,1.0,1.0
5729fd111d046914007796a9,False,What is a mechanism that can help plants block virus replication?,RNA silencing mechanisms | RNA silencing mechanisms | RNA silencing mechanisms,RNA silencing mechanisms are particularly important in this systemic response as they can block virus replication.,answered,False,,0.507,0.0,0.3158
57340b1bd058e614000b686a,False,What was the objective of Royal Proclamation of 1763?,outlined the division and administration of the newly conquered territory | outlined the division and administration of the newly conquered territory | division and administration of the newly conquered territory | division and administration | the division and administration of the newly conquered territory,The Royal Proclamation of 1763 outlined the division and administration of the newly conquered territory.,answered,False,,0.2661,0.0,0.8
57302700a23a5019007fce8a,False,Who was the leader of the Islamist regime in Sudan?,Hassan al-Turabi | Hassan al-Turabi | Hassan al-Turabi,Hassan al-Turabi.,answered,False,,0.3003,1.0,1.0
5ad266f8d7d075001a42920a,True,Who was William the Silent's father?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6329,1.0,1.0
5730a40f396df91900096237,False,What happened to the East India Trading Company in 1767?,exploitation | political activity caused exploitation | political activity caused exploitation | exploitation | exploitation,The East India Company was almost brought into bankruptcy due to political activity causing exploitation.,answered,False,,0.3027,0.0,0.3333
572a09abaf94a219006aa75d,False,Who organized the trees of the Amazon into four categories?,Tatiana Kuplich | Tatiana Kuplich | Tatiana Kuplich,Tatiana Kuplich.,answered,False,,0.3292,1.0,1.0
572a0bf96aef051400155206,False,What type of hypersensitivity is associated with allergies?,Type I | Type I | Type I hypersensitivity,"Type I hypersensitivity is an immediate or anaphylactic reaction, often associated with allergy.",answered,False,,0.2469,0.0,0.4
5730a951069b531400832214,False,What did France offer that was rare by imperial standards?,assimilation | Full citizenship rights | assimilation | assimilation | Full citizenship rights,Full citizenship rights.,answered,False,,0.5138,1.0,1.0
57284142ff5b5019007da00a,False,Who donated property to the University of Chicago?,Marshall Field | Marshall Field | Marshall Field | Marshall Field,Marshall Field donated land to the University of Chicago.,answered,False,,0.2832,0.0,0.4
57109275b654c5140001f9a2,False,The French and Indian War was the New World aspect of what European conflict?,Seven Years' War | Seven Years' War | Seven Years' War,The Seven Years' War.,answered,False,,0.4685,1.0,1.0
5726509bdd62a815002e815a,False,Who challenged the plague theory first?,British bacteriologist J. F. D. Shrewsbury | J. F. D. Shrewsbury | J. F. D. Shrewsbury,J. F. D. Shrewsbury challenged the plague theory first in 1970.,answered,False,,0.2835,0.0,0.5714
5727d9c43acd2414000dee17,False,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003 | 2003 | 2003,Since 2003.,answered,False,,0.2045,0.0,0.6667
57300bf504bcaa1900d77087,False,Where is the Rhine Bridge?,Arnhem | Arnhem | Arnhem,The provided documents do not contain this information.,refused,True,model_judgement,0.3923,0.0,0.0
5a550e6f134fea001a0e187f,True,What is level two of the connection-orientated operation? ,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5618,1.0,1.0
573099ee8ab72b1400f9c5dc,False,What advancements besides military technology did Europe achieve?,communication | communication | communication | communication | communication,The provided documents do not contain this information.,refused,True,model_judgement,0.347,0.0,0.0
5ad268b2d7d075001a42928a,True,"In an ideal moral society, what would no citizens be free from?",,Force.,answered,False,,0.5152,0.0,0.0
572ffe6fb2c2fd14005686f0,False,What type of assistance to out of town students is the Muslim Brotherhood known for?,"housing | shelters, educational assistance, free or low cost medical clinics, housing assistance | shelters, educational assistance, free or low cost medical clinics, housing assistance",Housing assistance.,answered,False,,0.2768,0.0,0.6667
5ad0220a77cf76001a686b2e,True,What was held at the San Diego Yacht Club from 1985 to 1998?,,"The provided documents do not contain this information.  However, it is mentioned that the San Diego Yacht Club held the America's Cup, the most prestigious prize in yachting, from 1988 to 1995.",hedged,False,,0.3877,0.0,0.0
5a8919843b2508001a72a4be,True,"In the mid 20th century, who did not concur that 1 should be the first prime number?",,The provided documents do not contain this information.,refused,True,model_judgement,0.2751,1.0,1.0
5ad3af11604f3c001a3fec63,True,What was replace with the Norse religion?,,The Norse religion was replaced with Catholicism (Christianity).,answered,False,,0.4265,0.0,0.0
5726559edd62a815002e81cb,False,When was the great plague of London?,1665 | 1665 | 1665,The Great Plague of London occurred in 1665.,answered,False,,0.3265,0.0,0.25
5a6cb89e4eec6b001a80a644,True,Who was the only man to study medicinal properties of plants in Ancient Greece?,,"The provided documents do not contain this information.  However, it can be inferred that Diocles of Carystus was one of several men studying the medicinal properties of plants in Ancient Greece.",hedged,False,,0.3704,0.0,0.0
5ad4d0ca5b96ef001a10a198,True,How long had John Paul II been the pope in 1983?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4774,1.0,1.0
57265c10f1498d1400e8dd37,False,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly. | jet of expelled water drives them backwards very quickly | expelled water drives them backwards very quickly,"When Bathocyroe and Ocyropsis clap their lobes together, a jet of expelled water drives them backwards very quickly.",answered,False,,0.4248,0.0,0.6923
5ad24319d7d075001a4289cf,True,In what year was Reguier de la Plancha born?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6046,1.0,1.0
5ad4e4cf5b96ef001a10a58a,True,What are antibodies never generated to fight?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3492,1.0,1.0
5acf9d3477cf76001a685512,True,How many students enrolled at the College during the spring of 2014?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4337,1.0,1.0
57092322efce8f15003a7db1,False,Who is the UK's largest digital subscription television company?,BSkyB | BSkyB | BSkyB,BSkyB became the UK's largest digital subscription television company.,answered,False,,0.47,0.0,0.2222
572fda6fb2c2fd140056850e,False,What set is a seat added to after being allocated?,constituency seats | constituency | second,The constituency seats.,answered,False,,0.404,1.0,1.0
5726e3c4dd62a815002e9407,False,What do clinical pharmacists often participate in?,patient care rounds drug product selection | interdisciplinary approach | patient care rounds drug product selection,Patient care rounds drug product selection.,answered,False,,0.2019,1.0,1.0
5ad24ff3d7d075001a428ca6,True,What makes up 49.2% of the sun's mass?,,The provided documents do not contain this information.,refused,True,model_judgement,0.4946,1.0,1.0
572ff430a23a5019007fcba9,False,What part of the Rhine flows through North Rhine-Westphalia?,Lower Rhine | Lower | Lower Rhine,The Lower Rhine flows through North Rhine-Westphalia.,answered,False,,0.2768,0.0,0.5
5725f6e138643c19005acf19,False,What is the hottest temperature record for Fresno?,115 °F | 115 °F (46.1 °C) | 115 °F,"The official record high temperature for Fresno is 115 °F (46.1 °C), set on July 8, 1905.",answered,False,,0.261,0.0,0.4
5ad4fe635b96ef001a10a8b9,True,What does autumn host many of?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7331,1.0,1.0
5acfee8977cf76001a686569,True, What was Zia-ul-Haq supported for using Islamization to legitimize?,,Seizing power.,answered,False,,0.2457,0.0,0.0
5a55157f134fea001a0e18eb,True,What was Larry Roberts hope?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.9043,1.0,1.0
5ad0410977cf76001a686f00,True,How is California divided?,,"Southern California is divided culturally, politically, and economically into distinctive regions.",answered,False,,0.4528,0.0,0.0
5a0c98fef5590b0018dab49e,True,Savanna and desert were replaced by what in the Amazon?,,The provided documents do not contain this information.,refused,True,model_judgement,0.459,1.0,1.0
56e1b169cd28a01900c67a73,False,"In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models? ",computational power | computational power | computational power,"The provided context does not explicitly state ""alternate variables"", but it does mention a key point about the different machine models.   Determinism is mentioned as a commonality among these models. However, determinism itself isn't a measurement; rather, it's a property of how the machines opera",answered,False,,0.4254,0.0,0.0656
572a020f6aef05140015519b,False,What amount of the worlds carbon is stored in the Amazon forest?,10% of the carbon stores | 10% | 10%,"The provided documents do not contain this information.  However, it can be inferred that the Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems.   To find out what amount of the world's carbon is stored in the",hedged,False,,0.228,0.0,0.0602
5a591a5f3e1742001a15cf8a,True,How do physical experiments explain fluid inclusion data?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5684,1.0,1.0
