qid,condition,question,ground_truth,answer,suggested,why,answer_correct
A11,RAG off,How is the accuracy of speech recognition systems usually measured?,word error rate - Speech recognition.pdf,"The accuracy of speech recognition systems is typically measured using various metrics, which can be broadly categorized into two types: **word error rate (WER)** and **phoneme error rate (PER)**.  **Word Error Rate (WER):**  WER measures the percentage of words that are incorrectly recognized by the system. It's calculated as follows:  1. Compare the output of the speech recognition system with a reference transcript (usually created manually). 2. Count the number of errors, including: 	* Substitutions: when the system recognizes a word incorrectly. 	* Deletions: when the system omits a word from the reference transcript. 	* Insertions: when the system adds a word that's not present in the reference transcript. 3. Calculate the WER as the total number of errors divided by the total number of words in the reference transcript, multiplied by 100.  **Phoneme Error Rate (PER):**  PER measures the percentage of phonemes (distinct units of sound) that are incorrectly recognized by the system. It's calculated similarly to WER:  1. Compare the output of the speech recognition system with a reference transcript. 2. Count the number of errors, including: 	* Substitutions: when the system recognizes a phoneme incorrectly. 	* Deletions: when the system omits a phoneme from the reference transcript. 	* Insertions: when the system adds a phoneme that's not present in the reference transcript. 3. Calculate the PER as the total number of errors divided by the total number of phonemes in the reference transcript, multiplied by 100.  **Other metrics:**  In addition to WER and PER, other metrics are sometimes used to evaluate speech recognition systems:  * **Accuracy**: measures the percentage of correctly recognized words or phonemes. * **Precision**: measures the ratio of true positives (correctly recognized words or phonemes) to the total number of recognized words or phonemes. * **Recall**: measures the ratio of true positives to the total number of actual words or phonemes in the reference transcript.  These metrics provide a comprehensive understanding of a speech recognition system's performance and can be used to identify areas for improvement.",TRUE,word error rate,True
A12,RAG off,What dataset is used for sentiment analysis in the Dive into Deep Learning chapter?,IMDb movie reviews - sentiment-analysis-and-dataset.pdf,"A very specific question!  Unfortunately, I don't have direct access to the Dive into Deep Learning book or its code. However, based on my research and knowledge of common datasets used in sentiment analysis, I can make an educated guess.  The dataset commonly used for sentiment analysis in the Dive into Deep Learning chapter is likely the IMDB dataset. This dataset consists of 50,000 movie reviews from the Internet Movie Database (IMDB), with each review labeled as either positive or negative.  Here's why I think this might be the case:  1. **Sentiment Analysis**: The chapter focuses on sentiment analysis, which involves predicting whether a text is positive, negative, or neutral. 2. **Text Classification**: IMDB dataset is a classic example of text classification, where each review is classified as either positive (1) or negative (-1). 3. **Size and Complexity**: With 50,000 reviews, the IMDB dataset provides a good balance between size and complexity, making it suitable for demonstrating various deep learning techniques.  If you're working through the Dive into Deep Learning book, I recommend checking the code and documentation provided by the authors to confirm which dataset is being used.",TRUE,"IMDb, though openly guessed",True
A13,RAG off,When was GPT-4 released?,14 March 2023 - GPT-4.pdf,GPT-4 was released in May 2023 by OpenAI. It is the fourth version of the company's GPT multimodal large language model.,FALSE,"""May 2023""; actual 14 March 2023",False
A14,RAG off,What is retrieval-augmented generation?,retrieve documents then generate grounded answer - Retrieval-augmented generation.pdf,"Retrieval-augmented generation (RAG) is a type of artificial intelligence (AI) model that combines the strengths of two different approaches to natural language processing (NLP): retrieval-based models and generative models.  **Retrieval-based models:**  These models are designed to retrieve relevant information from a large database or knowledge graph. They use techniques like search, ranking, and filtering to find the most relevant pieces of information that match a user's query or prompt. Examples include question-answering systems, which retrieve answers from a database based on a user's question.  **Generative models:**  These models are designed to generate new text or responses based on patterns learned from large datasets. They use techniques like language modeling and sequence-to-sequence learning to predict the next word in a sentence or generate coherent text. Examples include chatbots, which respond to user input with generated text.  **Retrieval-augmented generation (RAG):**  RAG models combine the strengths of both retrieval-based and generative models. They first retrieve relevant information from a database or knowledge graph using a retrieval-based model. Then, they use this retrieved information as input to a generative model, which generates a response based on the retrieved context.  The key idea behind RAG is that it leverages the strengths of both approaches:  1. **Retrieval** provides access to relevant and accurate information from a large database. 2. **Generation** enables the creation of new text or responses that are coherent and engaging.  By combining these two approaches, RAG models can generate more accurate, informative, and engaging responses than either approach alone.  RAG has been applied in various NLP tasks, such as:  1. Conversational AI: generating human-like responses to user queries. 2. Question-answering: retrieving relevant information from a database and generating answers based on that context. 3. Text summarization: generating summaries of long documents or articles based on retrieved key points.  Overall, retrieval-augmented generation is an exciting area of research in NLP, as it has the potential to improve the accuracy, coherence, and engagement of AI-generated text.",TRUE,retrieve then generate,True
A15,RAG off,What is perplexity and how is it used to evaluate a language model?,exp of average negative log-likelihood - language-model.pdf + Large language model.pdf,"Perplexity is a key concept in evaluating the performance of language models, particularly those used for natural language processing (NLP) tasks such as text classification, sentiment analysis, machine translation, and language modeling.  **What is Perplexity?**  Perplexity is a measure of how well a language model predicts the next word or token in a sequence. It's a way to quantify the uncertainty or surprise of the model when predicting the next word. In other words, it measures how ""perplexed"" the model is by the input text.  **How is Perplexity Calculated?**  Perplexity (P) is calculated using the following formula:  `P = 2^(-H(p))`  where `H(p)` is the entropy of the probability distribution over all possible next words. The entropy measures the uncertainty or randomness in the model's predictions.  **How is Perplexity Used to Evaluate a Language Model?**  Perplexity is used as an evaluation metric for language models because it provides insight into how well the model can generalize and make accurate predictions on unseen data. A lower perplexity score indicates that the model is more confident and accurate in its predictions, while a higher score suggests that the model is less certain or ""perplexed"" by the input text.  Here are some key aspects of using perplexity to evaluate language models:  1. **Lower is better**: A lower perplexity score indicates better performance. 2. **Perplexity vs. Accuracy**: Perplexity and accuracy are related but distinct metrics. While a model with low perplexity may also have high accuracy, the reverse is not necessarily true. 3. **Contextual understanding**: Perplexity can be used to evaluate a model's ability to understand context and relationships between words.  **Interpretation of Perplexity Scores**  Perplexity scores are typically reported on a logarithmic scale (e.g., 2^(-H(p))). Here are some general guidelines for interpreting perplexity scores:  * **Good performance**: Perplexity < 10: The model is performing well and making accurate predictions. * **Fair performance**: Perplexity ≈ 10-20: The model is doing reasonably well, but may struggle with certain types of input or tasks. * **Poor performance**: Perplexity > 20: The model is struggling to make accurate predictions and may require further tuning or improvement.  In summary, perplexity is a useful metric for evaluating the performance of language models by measuring their ability to predict the next word in a sequence. A lower perplexity score indicates better performance, while a higher score suggests that the model is less certain or ""perplexed"" by the input text.",FALSE,"BORDERLINE: gives P = 2^(-H), which is wrong (2^H / exp of avg NLL); the definition is the asked point",False
A01,RAG on,What does the Viterbi algorithm compute for a hidden Markov model?,most likely sequence of hidden states - Viterbi algorithm.pdf + Hidden Markov model.pdf,The Viterbi algorithm computes the most likely sequence of hidden states that could have produced a given sequence of observations.,TRUE,,True
A02,RAG on,What normal form must a grammar be in before the CYK algorithm can be applied?,Chomsky normal form - CYK algorithm.pdf,Chomsky normal form (CNF).,TRUE,,True
A03,RAG on,Which researchers is the CYK algorithm named after?,Cocke / Younger / Kasami - CYK algorithm.pdf,"The Cocke–Younger–Kasami algorithm (alternatively called CYK, or CKY) is a parsing algorithm for context-free grammars published by Itiroo Sakai in 1961. The algorithm is named after some of its rediscoverers: John Cocke, Daniel Younger, Tadao Kasami, and Jacob T. Schwartz.",TRUE,"Cocke, Younger, Kasami, all correctly named",True
A04,RAG on,What are the two model architectures used by Word2Vec?,CBOW and skip-gram - Word2Vec - Wikipedia.pdf + word2vec.pdf,The Distributed Memory Model of Paragraph Vectors (PV-DM) and the Distributed Bag of Words version of Paragraph Vector (PV-DBOW).,FALSE,"PV-DM / PV-DBOW are Doc2Vec (paragraph vectors), not Word2Vec: grounded but WRONG, retrieval picked the Doc2Vec paragraph of the Word2Vec article",False
A05,RAG on,Which two approximate training methods reduce the cost of the softmax in word2vec?,negative sampling + hierarchical softmax - approx-training.pdf + Word2Vec - Wikipedia.pdf,Negative sampling and hierarchical softmax.,TRUE,,True
A07,RAG on,What corpus statistics does GloVe use to learn word vectors?,global word-word co-occurrence counts - glove.pdf,Word-word co-occurrences within context windows.,TRUE,,True
A08,RAG on,What two tasks is BERT pretrained on?,masked language modelling + next sentence prediction - bert.pdf,Masked language modeling and next sentence prediction.,TRUE,,True
A09,RAG on,How does the fastText subword model represent a word?,sum of character n-gram vectors - subword-embedding.pdf,The fastText subword model represents a word as the sum of its subword vectors.,TRUE,sum of subword vectors,True
A11,RAG on,How is the accuracy of speech recognition systems usually measured?,word error rate - Speech recognition.pdf,The accuracy of speech recognition systems is usually rated with word error rate (WER).,TRUE,,True
A12,RAG on,What dataset is used for sentiment analysis in the Dive into Deep Learning chapter?,IMDb movie reviews - sentiment-analysis-and-dataset.pdf,"Stanford's large movie review dataset, specifically downloaded from IMDb.",TRUE,,True
A13,RAG on,When was GPT-4 released?,14 March 2023 - GPT-4.pdf,"According to the context, GPT-4 was released in March 2023, and it was integrated by Microsoft into Bing Chat in February 2023.",TRUE,March 2023,True
A14,RAG on,What is retrieval-augmented generation?,retrieve documents then generate grounded answer - Retrieval-augmented generation.pdf,"Retrieval-augmented generation (RAG) is a technique that enables large language models (LLMs) to retrieve and incorporate new information from external data sources. With RAG, LLMs first refer to a specified set of documents, then respond to user queries. These documents supplement information from the LLM's pre-existing training data, allowing LLMs to use domain-specific and/or updated information that is not available in the training data.",TRUE,,True
A15,RAG on,What is perplexity and how is it used to evaluate a language model?,exp of average negative log-likelihood - language-model.pdf + Large language model.pdf,"Perplexity measures the performance of a language model by calculating how well it predicts the contents of a dataset. It is defined as the exponential of the average negative log likelihood per token, with lower perplexity indicating better performance. Perplexity can be thought of as the reciprocal of the geometric mean of the number of real choices that we have when deciding which token to pick next.  Perplexity is used to evaluate a language model in several ways:  1. **Best case scenario**: If the model always perfectly estimates the probability of the target token, its perplexity is 1. 2. **Worst case scenario**: If the model always predicts the probability of the target token as 0, its perplexity is positive infinity. 3. **Baseline**: If the model predicts a uniform distribution over all available tokens, its perplexity equals the number of unique tokens in the vocabulary.  A good language model should have a low perplexity, indicating that it can accurately predict the next token in a sequence. Perplexity provides a non-trivial upper bound on the performance of a language model, and any useful model must beat this baseline.",TRUE,,True
